date,visitors
2010-01-01,869.659085714286
2010-01-02,982.472033333333
2010-01-03,1015.74848571429
2010-01-04,1232.74571666667
2010-01-05,1097.20166666667
2010-01-06,1039.34059523809
2010-01-07,806.281137856004
2010-01-08,841.815335714286
2010-01-09,1017.26401666667
2010-01-10,980.576471428572
2010-01-11,958.309985714286
2010-01-12,937.288383333334
2010-01-13,953.79166653668
2010-01-14,919.724439610389
2010-01-15,883.589814980186
2010-01-16,973.30761024531
2010-01-17,951.610046700084
2010-01-18,941.233446700083
2010-01-19,871.310924270947
2010-01-20,806.240052172716
2010-01-21,925.556990616247
2010-01-22,979.598869047619
2010-01-23,979.697983333334
2010-01-24,938.371753030303
2010-01-25,956.629651332002
2010-01-26,1098.73276879232
2010-01-27,1093.59969516595
2010-01-28,1022.8818593985
2010-01-29,853.58718968254
2010-01-30,982.919255425569
2010-01-31,986.912014342469
2010-02-01,1288.03880013803
2010-02-02,1275.75994444444
2010-02-03,862.948588718451
2010-02-04,924.085346044459
2010-02-05,895.151200676376
2010-02-06,845.170068223587
2010-02-07,970.231134265011
2010-02-08,990.510585780162
2010-02-09,969.232608723885
2010-02-10,960.406219979296
2010-02-11,1118.94777294372
2010-02-12,1306.93135198988
2010-02-13,1318.22221865655
2010-02-14,1263.63261865655
2010-02-15,963.814807025583
2010-02-16,893.85117955986
2010-02-17,906.657861233742
2010-02-18,965.1193742121
2010-02-19,982.258117471948
2010-02-20,884.487360187473
2010-02-21,836.927392071531
2010-02-22,902.57002019647
2010-02-23,979.647977732654
2010-02-24,906.976981459362
2010-02-25,932.927817973572
2010-02-26,926.336752342102
2010-02-27,899.184080697081
2010-02-28,1138.91183228438
2010-03-01,935.145604506604
2010-03-02,991.745918989782
2010-03-03,885.254164227877
2010-03-04,886.18670350287
2010-03-05,949.416198951049
2010-03-06,1052.89561574303
2010-03-07,1056.89933109391
2010-03-08,938.03161646453
2010-03-09,965.79181442724
2010-03-10,971.849713362077
2010-03-11,934.42870934066
2010-03-12,889.988778571429
2010-03-13,903.830378919447
2010-03-14,986.493745586113
2010-03-15,978.601445475113
2010-03-16,869.29218724375
2010-03-17,924.798862229437
2010-03-18,930.259103138528
2010-03-19,1109.7700268315
2010-03-20,1229.39844603175
2010-03-21,1131.09216984127
2010-03-22,995.302396497947
2010-03-23,933.434433585859
2010-03-24,926.184412157286
2010-03-25,944.149897222221
2010-03-26,1127.73024365079
2010-03-27,1693.50123636364
2010-03-28,1689.08125636364
2010-03-29,1521.05050909091
2010-03-30,1616.84256969697
2010-03-31,1748.0819030303
2010-04-01,1531.09613095238
2010-04-02,1396.76671904762
2010-04-03,1471.80791904762
2010-04-04,1433.02538095238
2010-04-05,1332.74017936508
2010-04-06,1466.63326666667
2010-04-07,1072.88330839438
2010-04-08,1047.54621095016
2010-04-09,1111.44238115496
2010-04-10,1136.56508454323
