date,visitors
2010-01-01,841.6242897
2010-01-02,951.0567885
2010-01-03,998.237154
2010-01-04,1234.008261
2010-01-05,1035.712177
2010-01-06,1023.225534
2010-01-07,813.8143196
2010-01-08,916.9992576
2010-01-09,998.710167
2010-01-10,1010.440161
2010-01-11,963.1754853
2010-01-12,956.8739067
2010-01-13,946.801434
2010-01-14,938.5408836
2010-01-15,882.3006755
2010-01-16,977.998137
2010-01-17,979.8309614
2010-01-18,930.508183
2010-01-19,888.7328908
2010-01-20,848.9921699
2010-01-21,956.0633464
2010-01-22,992.5861129
2010-01-23,994.17592
2010-01-24,923.9106258
2010-01-25,949.5411027
2010-01-26,1061.564635
2010-01-27,1053.927448
2010-01-28,1041.83755
2010-01-29,884.7298764
2010-01-30,1019.219733
2010-01-31,977.4854653
2010-02-01,1326.958275
2010-02-02,1290.766167
2010-02-03,857.5556305
2010-02-04,932.3856147
2010-02-05,920.0956279
2010-02-06,893.8952892
2010-02-07,977.2553961
2010-02-08,1013.321822
2010-02-09,973.0795316
2010-02-10,964.7711714
2010-02-11,1135.095805
2010-02-12,1280.216096
2010-02-13,1300.86014
2010-02-14,1243.67057
2010-02-15,1002.194556
2010-02-16,908.8451038
2010-02-17,913.4144211
2010-02-18,952.5577027
2010-02-19,977.4116337
2010-02-20,923.146779
2010-02-21,882.2665887
2010-02-22,898.3920438
2010-02-23,1037.315776
2010-02-24,963.5735982
2010-02-25,935.4489175
2010-02-26,966.4813098
2010-02-27,922.8722663
2010-02-28,1173.127165
2010-03-01,975.3182326
2010-03-02,981.6314772
2010-03-03,893.8561544
2010-03-04,895.3965702
2010-03-05,955.8115932
2010-03-06,1072.262958
2010-03-07,1030.511159
2010-03-08,973.4220557
2010-03-09,971.3865844
2010-03-10,997.3414838
2010-03-11,931.5527204
2010-03-12,910.5571971
2010-03-13,915.1481215
2010-03-14,1017.088353
2010-03-15,981.3454245
2010-03-16,889.4716987
2010-03-17,946.5042303
2010-03-18,970.2953873
2010-03-19,1118.122971
2010-03-20,1231.543497
2010-03-21,1145.495272
2010-03-22,983.7461404
2010-03-23,950.7925765
2010-03-24,954.646414
2010-03-25,982.46726
2010-03-26,1140.658274
2010-03-27,1717.085146
2010-03-28,1723.204038
2010-03-29,1501.444125
2010-03-30,1635.206106
2010-03-31,1799.4706
2010-04-01,1536.726885
2010-04-02,1387.346103
2010-04-03,1473.283374
2010-04-04,1439.668725
2010-04-05,1342.520056
2010-04-06,1471.365359
2010-04-07,1101.180229
2010-04-08,1086.834169
2010-04-09,1107.825445
2010-04-10,1121.549101
2010-04-11,1064.296758
2010-04-12,1024.155034
2010-04-13,1052.373516
2010-04-14,1048.431744
2010-04-15,1068.25268
2010-04-16,999.4263136
2010-04-17,991.6451837
2010-04-18,1027.439691
2010-04-19,1017.002544
2010-04-20,1023.310829
2010-04-21,976.8092157
2010-04-22,946.5121718
2010-04-23,983.496752
2010-04-24,1112.236509
2010-04-25,1005.174457
2010-04-26,952.4097635
2010-04-27,846.2201438
2010-04-28,903.5182175
2010-04-29,975.3621985
2010-04-30,891.7228999
2010-05-01,976.4222179
2010-05-02,858.974353
2010-05-03,521.217531
2010-05-04,527.6302753
2010-05-05,554.3945229
2010-05-06,559.0478717
2010-05-07,576.9944336
2010-05-08,548.7027398
2010-05-09,516.9569696
2010-05-10,573.4729166
2010-05-11,559.7141678
2010-05-12,556.284863
2010-05-13,744.3361067
2010-05-14,731.8129295
2010-05-15,548.8433212
2010-05-16,796.7715259
2010-05-17,877.9279206
2010-05-18,835.8014518
2010-05-19,872.0122871
2010-05-20,774.3601485
2010-05-21,754.3689436
2010-05-22,781.3600856
2010-05-23,814.6852647
2010-05-24,1031.286072
2010-05-25,1125.664014
2010-05-26,856.3270249
2010-05-27,811.0871981
2010-05-28,756.4476184
2010-05-29,779.8352544
2010-05-30,918.1492204
2010-05-31,880.3386573
2010-06-01,692.093197
