date,visitors
2010-01-01,304.1296797
2010-01-02,357.1791911
2010-01-03,443.2705819
2010-01-04,435.7748661
2010-01-05,366.7744895
2010-01-06,413.2027153
2010-01-07,360.352005
2010-01-08,441.1930333
2010-01-09,630.0277698
2010-01-10,770.6263439
2010-01-11,429.8125187
2010-01-12,355.0885141
2010-01-13,426.5358406
2010-01-14,378.1331291
2010-01-15,368.3807476
2010-01-16,504.0860237
2010-01-17,1266.775973
2010-01-18,634.7740065
2010-01-19,698.7178729
2010-01-20,698.5431474
2010-01-21,658.5062572
2010-01-22,788.3901468
2010-01-23,1537.828619
2010-01-24,1556.888079
2010-01-25,535.742763
2010-01-26,417.7085565
2010-01-27,466.5602757
2010-01-28,525.1904689
2010-01-29,561.8641123
2010-01-30,698.9557743
2010-01-31,1126.907034
2010-02-01,1047.587055
2010-02-02,1153.23021
2010-02-03,497.9508297
2010-02-04,438.7632442
2010-02-05,425.6001223
2010-02-06,671.5915363
2010-02-07,1318.981704
2010-02-08,555.1735799
2010-02-09,482.2951476
2010-02-10,513.1111578
2010-02-11,411.3816379
2010-02-12,499.7996454
2010-02-13,572.4702022
2010-02-14,752.8292057
2010-02-15,515.9295124
2010-02-16,366.7330619
2010-02-17,435.5485219
2010-02-18,435.5049207
2010-02-19,408.5055826
2010-02-20,1322.085419
2010-02-21,1600.500013
2010-02-22,855.3841719
2010-02-23,733.6929717
2010-02-24,784.8307703
2010-02-25,742.1860988
2010-02-26,853.1422812
2010-02-27,1359.088934
2010-02-28,1897.387731
2010-03-01,773.5541823
2010-03-02,698.1255102
2010-03-03,710.4020463
2010-03-04,622.2052144
2010-03-05,735.4915965
2010-03-06,554.0199604
2010-03-07,859.1271984
2010-03-08,568.5651981
2010-03-09,484.2097156
2010-03-10,592.0341512
2010-03-11,517.3604238
2010-03-12,572.8965149
2010-03-13,1379.356521
2010-03-14,2225.08019
2010-03-15,800.3049581
2010-03-16,656.1731618
2010-03-17,719.9876261
2010-03-18,647.2889843
2010-03-19,1321.946801
2010-03-20,1703.32763
2010-03-21,1860.395157
2010-03-22,1414.82561
